owner_id,owned_id,share
P014389,C034655,0.7500
P011907,C022126,0.4652
P004695,C019871,0.1305
C010795,C025792,0.8500
P000937,C024066,0.2545
C030582,C012811,0.3516
C015666,C010247,0.5000
P003468,C007153,0.2765
C017018,C018286,0.5375
C002181,C003185,0.5000
C000153,C006262,0.2359
C011440,C011854,0.2891
C015559,C007357,0.8500
P005108,C008158,0.1918
C007783,C001088 ,0.8500
 P011671,C006373,0.0366
P012457,C026060,0.1110
C019027,C012556,0.1316
C027676,C029387,0.2927
C006515,C030823,0.7000
P013330,C031803,0.7000
P010641,C033588,0.1500
C030122,C004008,0.3957
C008746,C023872,0.1477
C018316,C022150,0.1963
P003225,C027055,0.3750
C024574,C013967,0.5000
P000805,C033470,0.1294
P007496,C032594,0.1125
P004024,C017441,0.6364
C91001106,C91001107,1.0000
C030497,C025695,0.5000
P007817,C034582,0.5514
P001630,C032419,0.6625
C014196,C003620,0.7000
P007830,C020267,0.3041
P009213,C017457,0.3126
C029680,C019949,0.3000
P009715,C031005,1.0000
P009383,C030674,0.1725
P006816,C003269,0.5750
P004419,C020031,0.1125
C005548,C002420,0.1766
P014065,C019036,0.5246
P003147,C023800,1.0000
P014011,C014959,0.1956
P008807,C003876,0.3734
C010805,C033689,0.3000
C002682,C033127,0.4630
C004461,C005214,0.2017
P009885,C019985,0.5056
C010311,C010053,0.2950
P014962,C023290,0.0724
P013365,C002799,0.2790
P008963,C011499,0.6171
P000304,C028039,1.0000
C002316,C014606,0.2201
P012389,C012328,0.3979
P006209,C029318,0.5750
C001113,C017361,0.7000
P009841,C030297,0.7163
C002491,C023068,0.4016
C91000854,C91000855,1.0000
C029910,C000795 ,0.3489
P011274,C021509,0.4441
P014170,C016485,0.1435
P012886,C000510,0.1566
P014717,C009746,0.5585
P008446,C025732,0.5400
C002461,C011740,0.4575
P006406,C002548,0.5650
P004611,C033255,0.0708
C018042,C011704,0.1191
P004565,C030578,0.5242
P009878,C015737,0.7355
C009858,C015608,0.3884
P003766,C034411,0.0923
C007784,C000623,0.0629
P005609,C030098,0.3240
P007918,C024761,0.2158
P003742,C025148,0.3775
C025160,C001092,0.1713
P009029,C011609,0.3000
P006916,C004871,0.2790
P000288,C021707,0.3267
C019838,C034124,0.8500
P007167,C014471,0.2790
C012396,C010745,0.1717
C010935,C023811,0.7000
P005722,C033722,0.2790
C010131,C002519,0.1807
P006561,C028922,0.0296
P000786,C024483,0.5000
P003189,C033172,0.7933
P004291,C010032,0.2790
C027098,C002133,0.2329
P007435,C030134,0.4049
P008723,C018714,0.8050
P006216,C032447,0.1500
C006975,C029279,0.4445
C030376,C008814,0.3000
P013542,C025049,0.2610
P003536,C005575,0.1928
P000901,C032387,0.5340
P006520,C013298,0.5507
C014649,C020365,0.1561
P013221,C028888,0.2779
C033518,C004806,0.4648
C91000491,C91000492,1.0000
P009740,C019952,0.4589
P005365,C026120,0.1918
C91000822,C91000823,1.0000
P005436,C012754,0.2434
P000388,C007114,0.2563
P002177,C006762,1.0800
P009672,C030733,0.4305
P004448,C005678,0.1316
P000109,C031939,0.5400
P013548,C033272,0.1466
P006177,C003596,0.1898
P012379,C007737,0.5081
P014116,C008861,0.3978
C032683,C031332,0.3166
P001380,C007435,0.1441
P005486,C004278,0.6017
P000658,C024703,0.3450
C032932,C031956,0.3152
C033979,C011187,0.8500
P005137,C010880,0.0199
C91000459,C91000460,1.0000
P009083,C029934 ,0.8700
P000472,C020926,0.1442
C016409,C010038,0.7000
P006208,C001593,0.2926
P004518,C021531,0.5451
C001954,C025430,0.8500
P000553,C013372,0.4077
P003554,C005388,0.3519
P007264,C005852,1.1500
P008887,C019721,0.3350
C027980,C029533,0.1139
C012107,C006740,0.5000
C034795,C032846,0.1808
P013693,C001051,0.4650
C021425,C013910,0.5000
C030369,C032190,0.4242
C007593,C018033,0.8500
P012001,C021333 ,0.1989
C031353,C009292,0.3000
C027586,C033022,0.2778
C001037,C034847,0.8500
P004500,C010368,0.2840
C019714,C024804,0.0000
C023986,C014323,0.1339
P013929,C021734,0.0986
P004157,C003147,1.0000
P010346,C005414,0.3824
C025513,C003447,0.8500
P011361,C034340,0.0667
P010708,C018566,0.2610
C022589,C017950,0.2356
P013525,C005928,0.2250
P001285,C011117,1.0000
P011574,C021724,0.0620
P014450,C009203,0.6141
C029775,C007496,0.7000
P003797,C004633,0.1125
C031356,C028292,0.5000
P004174,C006666,0.0687
P003778,C003364,0.5000
P014068,C018138,0.4427
P002825,C034362,0.6090
P009996,C034540,0.4350
C014049,C017207,0.2147
C017115,C030246,0.1752
P011497,C014555,0.4496
P005739,C008636,0.8700
C000882,C017219,0.0991
P003658,C026005,0.6498
P013931,C004720,0.2298
P011718,C021326,0.4688
P007990,C032084,1.0800
P006104,C011956,0.3981
C000208,C012209,0.5000
C91000158,C91000159,1.0000
P011342,C009389,0.3937
C015510,C019332,0.7000
C91000307,C91000308,1.0000
P006351,C029786,0.6510
P004081,C028238,0.6510
P001250,C012180,0.1932
P013943,C010147,0.4795
P002396,C014522,0.9300
P004900,C008331,0.4610
P009080,C028255,0.1126
P013272,C010905,0.8050
C020592,C017059,0.4634
P002339,C013836,0.1414
P000612,C021782,0.6716
P011863,C014299,0.3204
C032818,C021464,0.3232
C010535,C028249,0.7000
P011703,C034596,0.2943
P012651,C008148,0.0907
P010114,C001355,0.1420
P014120,C033884,0.7500
C027878,C025845,0.8500
C010091,C025945,0.8500
P009535,C009143,0.0994
P008084,C026218,0.4350
C000807,C021373,0.7000
P004607,C024588,0.4217
P001330,C002316,0.3240
P013038,C016810,0.1620
P006707,C001760,0.1500
P011813,C029067,0.1725
C011880,C022132,0.5000
P000458,C018209,0.1449
P007136,C031902,0.5275
C007647,C010127,0.7000
P001605,C010362,0.2379
P012722,C000668,0.3729
P006984,C028636,0.1725
P005049,C012549,0.2305
P004180,C019315,0.2177
P011753,C019132,0.2004
P011839,C033082,0.5000
P007255,C004281,0.7830
P004702,C029116,0.5750
P003785,C032060,0.3647
P007150,C020823,1.0000
C025132,C005959,0.2778
C016032,C022546,0.3000
P004607,C014932,0.4835
C019778,C002903,0.4932
P009742,C015127,0.1743
C015712,C032172,0.2924
C029135,C033474,0.3796
C021356,C027148,0.8500
P006238,C022278,0.2652
P002728,C014434,0.0986
P002517,C009262,0.3084
P000265,C001448,0.1562
P007997,C031611,0.7000
C017125,C007992,0.3439
P008058,C010963,0.5197
C019732,C006724,0.8500
P009811,C015448 ,0.0839
C012561,C002216,0.3000
P011016,C009395,1.0000
P007883,C034719,0.5975
C014441,C032191,0.1880
P009989,C013203,0.2015
P009149,C007568,0.1150
P011722,C008648,0.6009
P004098,C014356,0.7000
P002301,C021745,0.6359
P011005,C017061,0.3476
P009182,C024096,0.0931
P014695,C021470,0.7534
C91001166,C91001167,1.0000
C009899,C004070,0.1430
P014980,C008592,0.9300
P012749,C022043,1.0000
P011685,C019397,0.1804
C030980,C029818,0.7000
P002732,C006839,0.2250
C015379,C032363,0.7000
P007792,C007208,0.2825
C032347,C016756,0.8500
C022649,C007347,0.6690
 C028341,C025905,0.8500
C026036,C010380,0.5000
P006368,C016059,0.1500
C002473,C006270,0.7000
C025936,C003880,0.3000
P005727,C003136,0.5400
P011244,C001621,0.2610
C012605,C032594,0.8500
P008354,C008075,0.1635
P001247,C013366,0.0554
P012493,C006463,0.0446
C024789,C021256,0.5000
P011330,C016524,0.5250
P004857,C003327,0.1866
C007607,C028848,0.3000
P006974,C014353,0.1725
C032363,C003975,0.2093
C001189,C024142,0.5000
C91000237,C91000238,1.0000
P005342,C028010,0.1535
C013793,C012022,0.8500
P004122,C002354,0.2768
P003482,C002820,0.1395
P001508,C024482,0.1395
C91001532,C91001533,1.0000
P014326,C012771,0.5436
C91000582,C91000583,1.0000
C020617,C010523,0.4097
C020202,C019548,0.1187
C023192,C002665,0.7000
P003030,C030246,0.2057
P014377,C025678,0.0611
P008517,C015395,0.0790
P002962,C010871,0.2123
C016899,C009186,0.1477
P003572,C003167,0.0784
P006342,C033557,0.7000
P011486,C031667,0.1125
C021331,C009344,0.3709
P007521,C028900,0.0408
P009990,C030340,0.0239
C011307,C025908,0.1773
C020840,C020469,0.6600
P002671,C017295,0.4389
P005791,C004382,0.6518
P012496,C027758,0.5400
P007254,C008265,0.1500
P006611,C014027,0.1001
P001511,C024106,0.4200
P000296,C031967,0.1596
C91000653,C91000654,1.0000
C028444,C005810,0.0750
P005443,C020312,0.2232
P005063,C015298,0.4329
C009171,C027312,0.4633
P012710,C017071,1.0000
P006014,C020563,0.0929
C025660,C014695,0.5000
P003041,C027494,0.4654
P003046,C013961,0.3783
P008116,C030224,0.2659
P010595,C029345,0.2282
P009979,C017329,0.3968
P000431,C009413,0.0597
P005817,C015159,0.0185
P005701,C000540,0.3502
P014577,C008921,1.0000
P010525,C002192,0.1159
P005628,C023067,0.1477
C021147,C020856,0.8500
C029372,C021662,0.0934
C034140,C010170,0.7000
P008208,C026076,0.0588
P014336,C011269,0.0601
P014683,C010686,0.1121
P010434,C026460,0.4650
P010223,C018931,0.0549
P002387,C024383,0.3450
P008410,C025568,0.2593
P005160,C011602,0.4876
P006813,C001596,0.5250
P013458,C017654,0.1395
P012801,C003276,0.4879
P010729,C003087,0.2100
C025109,C012944,0.5000
C034243,C007668,0.4037
P006900,C004387,0.5710
C026690,C024610,0.2046
C033657,C013078,0.3000
P009008,C003059,1.0000
C91000131,C91000132,1.0000
C023743,C016237,0.7000
C024962,C025521,0.4234
P014731,C021453,0.1500
P003117,C011614,1.0000
P006511,C032532,0.1775
C000322,C009978,0.1636
P003903,C003405,0.1623
P005500,C017404,0.2305
C027859,C032241,0.3633
C020788,C012364,0.3403
C021841,C015154,0.7000
C033712,C000878,0.2711
P004803,C031192,0.3240
P011948,C028943,0.0698
C029999,C005214,0.0983
C027536,C020887,0.5000
P004939,C015035,0.5750
P009752,C014961,0.7500
P009716,C003123,0.1685
P008195,C030257,0.3000
P001220,C031174,0.3728
P007564,C020744,0.0523
P006366,C034773,0.4780
C009451,C013424,0.7000
P003080,C004712,0.4871
P007823,C002387,1.0000
C000488,C022748,0.5000
P013129,C004213,0.2868
P002181,C009958,0.4269
P010466,C000088,0.6510
P003359,C026041,0.8050
C027493,C022064,0.7000
C005098,C024155,0.8500
P005865,C032022,0.1620
P014790,C006996,0.7000
P014956,C017240,0.3770
C033366,C003513,0.5000
P001576,C008381,0.3546
P012323,C002131,0.0782
C020946,C017554,0.2896
P007490,C021167,0.6510
P011113,C021809,0.4904
C003870,C020354,0.1518
P008919,C017556,0.0803
P010619,C025328,0.5000
C023463,C033418,0.1860
P006429,C012635,0.1750
C034533,C023701,0.7000
C011564,C014879,0.5000
P013084,C008728,0.2079
P004142,C011713,0.5000
C91000151,C91000152,1.0000
P005215,C006245,0.5000
P008438,C025410,0.5984
C034386,C013087,0.7000
P003265,C021433,0.0281
P003619,C027136,0.5000
P010656,C013646,0.1285
C007610,C008816,0.1643
P014209,C008391,0.3110
P000766,C006924,0.5400
P014017,C019643,0.2165
P011320,C018374,0.4835
P004680,C020791,0.5000
C024978,C011738,0.3475
P007728,C003176,0.2948
P011149,C022897,0.4350
C029865,C019097,0.7000
P014931,C023953,0.0994
P000692,C023583,0.5750
C004997,C012914,0.1868
P014667,C034559,0.1446
C009344,C021331,0.2185
P007220,C000202,0.1675
C000170,C009075,0.3000
P012850,C002284,0.1904
P014346,C034668,0.6877
P006666,C009144,0.2152
P006042,C021254,0.5000
P005276,C008728,0.0336
P007822,C001846,0.7000
P002860,C033794,0.3100
P003838,C025349,0.3240
P010992,C024895,0.8700
C012034,C011520,0.3137
P003676,C021387,0.4650
C029460,C029958,0.5470
P005046,C028287,0.4012
C011750,C011453,0.3000
C034525,C005382,0.4296
C020298,C005675,0.3000
C023104,C030081 ,0.8500
P010863,C009982,0.2480
P010883,C014483,0.8700
P002763,C012717,0.3000
P001036,C025687,0.1125
P002610,C025868,0.8929
C023296,C018699,0.1644
P003585,C014915,0.1409
C026350,C001085,0.2145
C013985,C010645,0.7000
C024218,C020103,0.3000
P000844,C002932,0.1395
C022291,C010700,0.3000
P010566,C034172,0.6090
C91001432,C91001433,1.0000
P002410,C023594,0.3946
P008323,C002296,0.6405
C027509,C028952,0.3612
C012598,C000338,0.5000
P011774,C023007,1.0000
P006405,C014107,0.2610
P009768,C019232,0.4704
P006502,C028032,0.1673
P006488,C007651,0.1734
C006710,C010179,0.8500
C015529,C005937,0.1788
C014957,C026226,0.5739
P006874,C015046,0.1990
P013612,C018802,0.1058
P013169,C002096,0.1789
C029593,C000579,0.5000
P000516,C003900,0.1620
C002767,C016562,0.1283
P014231,C005149,0.2051
P005800,C012808,0.8700
P011287,C010239,0.8700
C016995,C031316,0.5000
P004767,C029911,0.4292
P005031,C024083,0.1175
C016953,C027835,0.3000
P004071,C025878,0.7000
P000590,C012921 ,0.5250
C024819,C005821,0.3656
P005183,C033794,0.0851
P010651,C029886,0.3868
P010665,C024917,0.3240
C020780,C017517,0.8500
P002494,C020236,1.0000
P008716,C012365,0.0926
P000219,C012314,0.0851
P001374,C034498,0.4818
P007227,C020945,0.1244
P009805,C020999,0.6209
C026302,C013225,0.4994
P000831,C030897,0.6271
C033534,C014142,0.5403
P010699,C017747,0.3911
C018340,C033682,0.3882
P001571,C020496,0.3968
C013772,C031915,0.7000
P007375,C034612,0.0426
P011903,C003854,0.1727
P010107,C034195,0.0413
P010971,C032062,0.0354
C002066,C016121,0.7000
P012488,C013937,0.1859
C006098,C011138,0.6349
C015791,C021057,0.3000
P005768,C012143,1.0800
C007686,C033313,0.3000
P014932,C034684,0.1622
P014410,C002300,0.0468
C018215,C034484,0.2278
P004998,C013076,0.9300
C009526,C029379,0.3000
C91000930,C91000931,1.0000
P000612,C000928,0.0694
P005561,C024083,0.2670
P008392,C010866,0.6090
C003356,C017745,0.7000
C014096,C027756,0.3000
C018567,C019380,0.5170
P007333,C014708,0.3000
P012423,C021663,0.2381
P003965,C014538,0.3655
P005849,C014842,0.6151
P013973,C017700,0.8700
P010386,C026783,0.8700
C016803,C020502,0.8500
P009306,C027582,0.6605
P006185,C001681,0.0513
C010396,C007973,0.1414
P012484,C019625,0.1049
P003191,C007183,0.1500
P009963,C024519,0.1725
P000730,C012645,0.0277
P001363,C004011,0.0791
P005625,C015617,0.3331
P004856,C013305,0.5715
P004051,C009522,0.5045
P001876,C026804,0.1358
P004215,C025568,0.3154
C001415,C002470,0.3000
P002252,C021785,0.4821
P004656,C005866,0.2515
C017202,C028627,0.4781
P014935,C012220,0.5274
 P011221,C008703,1.0000
C023503,C004087,0.5886
P007086,C001094,0.7500
P001370,C028922,0.0952
C010152,C020409,0.3671
P009892,C014042,0.3010
C029618,C015862,0.3449
P007920,C003471,0.5143
P002480,C031774 ,0.7000
P007024,C006569,0.3262
P000719,C003632,0.2546
C010819,C031225,0.1653
P007665,C024713,0.3509
P005562,C017111,0.9300
P010479,C012394,0.4106
P012235,C007955,0.0951
P008315,C013098,0.0447
C026380,C000514,0.8500
C002217,C004719,0.2270
C019804,C018753,0.5000
P011400,C027790,0.0426
P005677,C003092,0.3000
P003023,C027458,0.7499
P001978,C015624,0.0718
P002928,C029728,0.0606
C024472,C013866,0.2636
P008986,C025542,0.0631
P007354,C006408,0.3439
P009723,C018705,0.0166
P012210,C016102,0.8700
P003896,C002166,0.2990
P014544,C027170,0.6510
 C91000966,C91000967,1.0000
C026758,C018741,0.4150
P007559,C025610,0.4904
C021175,C028424,0.1342
P006159,C033868,0.2600
P003848,C018273,0.0712
C91001862,C91001863,1.0000
C027833,C013262,0.8500
P005102,C009146,0.6090
P012823,C004276,0.5000
C017360,C001332,0.8500
P010110,C031074,0.2060
C000229,C014169 ,0.1934
P002651,C001855,0.0574
C019418,C024570,0.2116
P007374,C003131,0.5250
P005742,C017360,0.0504
P006404,C023513,0.2407
C002007,C001329,0.2613
C034645,C023714,0.3054
P002233,C024395,0.1395
P008193,C023160,0.1313
P002588,C027966,0.1096
C028716,C019488,0.1791
P005962,C028607,0.3750
P013093,C010971,0.5081
P001277,C003204,0.1499
P013868,C014853,0.3005
P005688,C032212,0.4729
P010670,C014981,0.1559
P009918,C019369,0.3498
P007151,C000874,0.0972
P005981,C006065,0.6065
P005788,C022626,0.5970
P008102,C012624,0.2208
C015396,C016028,0.8500
P011895,C011610,1.0000
P008552,C033048,0.3698
C027824,C011053,0.3000
C019845,C019556,0.2991
P011117,C031779,0.4350
P007316,C005217,0.3315
C005167,C026936,0.8500
P011040,C024954,0.6090
P005045,C021729,0.6090
P002949,C034371,0.4139
P011525,C000082,0.9300
P002523,C018240,1.0000
P002577,C014720,0.9300
P005889,C011342,0.1125
P000597,C013487,0.3109
P014851,C015034,0.6304
P006611,C015991,0.3368
C010230,C024492,0.5000
P014628,C014396,0.2790
P008453,C029573,0.1705
C021215,C012975,0.2035
P012208,C034329,0.2950
C034470,C007249,0.1715
P005256,C001118,0.9300
C002877,C007192,0.5000
C021841,C029937,0.7000
P008927,C005863,0.3450
P002405,C020019,0.5971
P009947,C002654,0.5221
C029929,C007518,0.7000
P012366,C018122,0.1869
C007092,C029898,0.1353
P013677,C010697,0.5425
P002124,C023199,0.6510
C012647,C012810,0.3021
C025028,C002341,0.4472
P000294,C016303,0.2699
C012928,C028906,0.4160
P012344,C000389,0.0378
P010767,C021237,0.1125
P007203,C004622,0.3000
P003299,C027287,0.6867
C025831,C008728,0.5000
C014110,C008781,0.4700
C013114,C026386,0.2082
P014118,C001194,0.9300
P000338,C017542,0.8700
P003526,C014368,0.5250
C033433,C008377,0.3000
P011900,C005156,0.2547
P009013,C029972,0.0987
P003896,C003956,0.3000
P013438,C003191,0.4116
C018679,C016445,0.1814
C014874,C034862,0.8500
P012355,C018761,0.1656
P009711,C001952,0.2975
P007448,C005044,0.1955
P006218,C033914,0.5986
P014686,C032945,0.1620
P001948,C025645 ,0.7799
P010326,C020737,0.3166
P001823,C013734,0.0771
C018664,C020105,0.3000
P001170,C032827,0.4172
P008631,C011538,0.4115
P000650,C030654,0.1500
C008619,C030524,0.2242
C002973,C001441,0.1451
P006752,C027408,0.3111
P012994,C034098,0.1500
P002966,C024556,0.5750
P009980,C030023,0.3240
P013718,C015349,0.2126
P008050,C028231,0.2138
P009992,C023412,0.3468
P001683,C013676,0.2761
P001485,C023656,0.1725
C012107,C006699,0.3236
P007889,C023619,0.3563
C025115,C021843,0.3528
C014552,C024849,0.2188
P014515,C020357,0.3249
P003361,C026479,0.2395
C007644,C033006,0.2663
P003964,C010598,0.0854
P009692,C019601,1.0000
P011173,C000821,0.2012
C001412,C024641,0.7000
P003228,C012863,1.1500
C014399,C016348,0.3871
C029886,C009138,0.7000
P009885,C013697,0.5000
P011949,C014138,0.3000
C006083,C026336,0.4285
P009485,C020408,0.3450
C001278,C016309,0.7000
C91001910,C91001911,1.0000
P008487,C027927,0.2357
C013534,C007493,0.1098
P013739,C009177,0.3487
P001596,C027405,0.0476
C025341,C006166,0.1263
P000505,C028197,0.2250
P004210,C033174,0.3583
P010014,C006844,0.3733
C003304,C021246,0.3210
C91001780,C91001781,1.0000
C032275,C032580,0.4699
P000954,C006074,0.0301
P009577,C018394,0.3000
P008082,C013275,0.2815
P011041,C013912,0.3461
C010844,C014346,0.3000
C028133,C026488,0.7000
P001547,C020451,0.7000
P009296,C020213,0.4650
P010181,C019562,0.5000
C027115,C006761,0.3980
P001518,C026407,0.2610
P013037,C025540,0.2796
P001089,C021937,0.1713
C029667,C001568,0.7000
P001084,C032828,0.5927
P008704,C021856,0.1829
P014795,C015560,0.5750
P002315,C000475,0.0390
C018730,C012913,0.2006
P007580,C007993,0.2855
P003633,C015043,0.1656
P011887,C005077,0.4892
P011342,C009389,0.5644
P007658,C018141,0.2400
P012036,C033448,0.0746
P012736,C023528,0.7000
P003271,C001977,0.0691
C019974,C024087,0.4680
C031445,C029314,0.7000
P007571,C019640,0.4539
P005192,C001504,0.3594
P002610,C000282,1.0000
C032657,C025141,0.4491
P001260,C030129,0.5750
P011859,C016005,0.0581
C014055,C026597,0.1610
C026427,C023976,0.5000
P013401,C005257,0.4328
P000908,C014937,0.0622
P009567,C013969,0.1963
P005710,C016498,1.0000
P011885,C019652,0.0528
P006826,C028482,0.3450
P014960,C003816,1.0000
P007602,C003872,0.6471
P009087,C030158,0.2414
P010138,C025797,0.4650
P013564,C006488,0.4457
P011226,C000206,0.5009
P003070,C011880,0.3753
P013844,C021108,0.0869
P008028,C007041,0.3389
C013587,C022319,0.3420
P012615,C027554,0.8700
C025631,C029118,0.2858
P002931,C030967,0.6462
P010602,C033476,0.2081
C001791,C011137,0.3550
P012739,C019680,0.7000
P002939,C006671,0.1119
P010707,C001048,1.0000
P011047,C030101,0.8050
P009470,C005274,0.2486
P014941,C023778,1.1500
P001454,C024516,0.3000
P003042,C031141,0.5250
C004796,C026578,0.1842
C019242,C013160,0.7000
C016713,C025222,0.2820
P014833,C031793,0.5000
C010752,C022906,0.5000
P006360,C009126,0.1521
P007583,C028784,0.7000
C024184,C032246,0.3000
C001918,C033517,0.4519
C022856,C010046,0.3042
P007917,C023296,0.5000
P007599,C016136,0.5838
P012599,C029133,1.0000
P011622,C016262,0.0667
P009963,C018385,0.1082
P012215,C000469,0.1500
P002639,C015118,0.3240
P004735,C000622,0.6295
P000159,C019097,0.3000
P009143,C026421,0.5000
C022826,C027676,0.1079
C018151,C007688,0.5473
C008852,C016227,0.2062
C008295,C026887,0.8500
P003732,C009690,0.5250
C003514,C027103,0.3798
C013153,C015970,0.8500
P012169,C033507,0.2488
P002102,C025734,0.0668
P008615,C006671,0.6298
P013056,C025681,0.0346
C005127,C002373,0.2239
C004750,C023891,0.7000
P002919,C028306 ,0.7000
C016558,C000149,0.3172
C91000961,C91000962,1.0000
P008817,C010691,0.7387
P004130,C003723,0.7000
P003888,C000501,0.1487
P000551,C013421,0.3723
P012446,C034337,0.1905
P001094,C022830,0.6090
P012707,C034443,0.0650
P013353,C028966,0.4431
P014450,C017137,0.3000
P011608,C030163,0.5397
P010147,C005599,0.2825
C000400,C014440,0.1022
P007107,C009528,0.3352
C024547,C022989,0.6259
P001806,C020740,0.2892
C001904,C022468,0.6414
C014266,C026334,0.5000
P001876,C001568,0.3000
C015801,C011470,0.7000
C006451,C017039,0.3485
P008676,C002522,0.2348
C023530,C031276,0.1086
C030685,C033594,0.7000
P013423,C004761,0.4520
C031176,C018554,0.1567
P000562,C009296,1.0000
P010237,C010304,0.3240
C033316,C025378,0.1017
C019306,C027651,0.8500
P003158,C025565,0.2939
P001278,C013795,0.1168
P013387,C020876,1.0800
C016258,C026405,0.1053
P011014,C027964,0.2250
C022134,C023448,0.3130
P009271,C026959,0.2970
P008814,C001807,0.1725
C019956,C033965,0.8500
P007923,C020317,0.4910
P007020,C017419,0.7000
P013413,C027791,0.4533
C017509,C008692,0.1068
P013644,C018817,0.3698
P014346,C024740,0.3915
P012488,C011016,0.3000
C005340,C007335,0.8500
P002438,C009333,0.8050
P012219,C004367,0.3872
P006683,C003709,0.1500
P003451,C031873,0.4483
C024689,C027201,0.7000
P006487,C027730,0.1151
P002183,C034322,0.4630
C016059,C031609,0.3430
P000654,C034975,0.1626
P004494,C009686,0.2968
C012745,C018142,0.1550
P014309,C021571,0.1397
P014746,C015252,0.3677
P001350,C013925,0.0958
C023036,C020829,0.7000
C007383,C019630,0.3507
C007872,C032907,0.5506
P009303,C001526,0.5000
P004290,C001050,0.1262
P002170,C020708,0.4908
P004368,C017833,0.0887
P009597,C030134,0.0308
P013385,C021716,0.3349
P002351,C033423,1.0000
P006775,C013843,0.4049
P000526,C024263,0.1877
P007583,C012653,0.0886
C004879,C025060,0.2526
P014693,C028586,0.4937
C009991,C015182,0.3000
C022430,C029458,0.8500
C011064,C024568,0.3000
P000212,C033664,0.3742
P001509,C015985,0.3949
C005662,C026467,0.1813
P010541,C026078,0.1675
C010877,C009673,0.4415
P006586,C001591,0.3000
P013163,C019498,0.4641
P004884,C016155,0.6878
P009309,C029277,0.2190
P011462,C033283,0.1620
P008185,C000141,1.1500
P002643,C012375,0.6718
C006175,C021510,0.3000
C003956,C020671,0.7000
P002830,C022576,1.0000
P005921,C027751,0.4580
P006792,C029945,0.0396
P002933,C014640,0.0363
P013210,C031044,0.6510
C028529,C032940,0.8500
C024624,C024223,0.5926
P012224,C020928,0.4529
P014661,C009778,1.0000
P009526,C000574,0.5404
C018045,C005744,0.7000
P008442,C014459,0.5000
C91000761,C91000762,1.0000
C007049,C021554,0.3000
P009305,C009465,0.3000
C029202,C024828,0.3158
P012003,C010328,0.0927
P008051,C011701,0.2682
P011249,C021862,0.3341
P009884,C018728,0.5270
P013078,C022905,0.2898
P006813,C015693,0.2438
P011142,C012648,0.4239
P008722,C030901,0.1165
P011455,C003850,0.7560
C017331,C010676,0.3211
P002380,C003781,0.1725
C91001113,C91001114,1.0000
P003502,C016093,0.5000
P000655,C028785,0.4627
P007006,C013971,0.3092
P004952,C003254,0.4063
P003900,C028024,0.2602
P012886,C000958,0.3235
C006791,C026240,0.3596
C016425,C025981,0.1129
P008746,C023718,0.2610
P003416,C022461,0.5401
C009031,C012819,0.0847
C032227,C009934,0.1048
P013519,C017887,0.4310
C015962,C015130,0.1813
C024348,C012516,0.8500
P006490,C000794,0.3009
P002315,C021734,0.0336
C028479,C021365,0.3000
C030224,C007373,0.0652
P002236,C034955,0.3792
C015856,C003194,0.3693
P012944,C021580,0.2429
C002517,C018995,0.5385
P001195,C034147,0.7000
C91001360,C91001361,1.0000
P004480,C003261,0.1888
P014178,C029150,0.2668
P010965,C000465,0.1195
C004344,C029037,0.5000
C030790,C032129,0.7000
C016326,C012660,0.3000
P010163,C028615,0.8700
P006746,C021239,0.8700
C012663,C016826,0.7000
P014997,C021986,0.0880
C020131,C001312,0.7000
P011106,C018456,0.6430
P010004,C018300,1.0800
P004838,C002196,0.1390
C010052,C018216,0.1698
P004734,C005143,0.7000
P008222,C003536 ,0.8608
P001993,C010691,0.3413
P003615,C028145,0.1125
C020291,C006557,0.5000
P012986,C027796,0.2250
P014103,C015151,1.0000
C030369,C018356,0.3454
P014760,C017620,0.3530
P014990,C025070,0.1324
P005218,C030794,0.1544
C009172,C022184,0.7000
C018243,C032864,0.7000
P008578,C006671,0.0420
P012484,C021165,0.5250
P011625,C004106,0.0583
C004297,C033992,0.2238
C010795,C025792,0.9000
P005755,C017647,0.2250
C91000980,C91000981,1.0000
P007615,C005948,0.8050
P010645,C015274,0.1733
P014700,C005494,0.2212
C004820,C005171,0.3000
P001772,C025406,0.4735
P005544,C030588,0.2112
P008618,C029142,0.3073
C027205,C015280,0.3000
P002983,C000860,0.3489
C031121,C003858,0.5000
P011648,C018600,0.1152
P003974,C024994,0.1375
P014881,C011163,0.3581
P010906,C003187,0.8050
C026360,C021741,0.3129
C021571,C032446,0.3000
C012720,C005861,0.1923
P008790,C031752,0.0461
P000625,C021121,0.2084
C018269,C016999,0.1793
P005023,C003984,0.0696
C020891,C033351,0.2879
P013990,C021272,0.9300
P005148,C004747,0.7317
P012066,C030286,1.0800
C030079,C013280,0.4759
P007549,C020053,0.3436
P005230,C004050,0.5739
P007616,C011786,0.3966
P003925,C001283,0.2015
P010780,C021666,0.0534
P003545,C021261,0.1125
P014872,C019505,0.5000
P003376,C019796,0.4275
P008478,C004318,0.1241
P005792,C026596,0.1767
P000010,C025480,0.2472
P004474,C030293,0.2013
P003385,C011035,0.1921
P000439,C034769,0.6090
P010762,C025964,0.7000
P007003,C005886,0.1322
C016386,C002520,0.1564
P011826,C018998,0.2466
P010198,C032028,0.0423
P011554,C026772,0.1005
C016670,C013112,0.5000
P006311,C031585,0.6778
P008645,C028173,0.1835
P002115,C026075,0.9300
C024771,C006867,0.1528
